"season","team","conference","statName","statValue"
2022,"Buffalo","Mid-American","thirdDowns",197
2022,"New Mexico State","FBS Independents","sacks",27
2022,"Auburn","SEC","games",12
2022,"UAB","Conference USA","netPassingYards",2641
2022,"Notre Dame","FBS Independents","rushingAttempts",531
2022,"Georgia Southern","Sun Belt","kickReturnYards",451
2022,"Memphis","American Athletic","sacks",21
2022,"Texas","Big 12","rushingTDs",29
2022,"UCF","American Athletic","puntReturnTDs",2
2022,"Western Kentucky","Conference USA","puntReturnTDs",1
2022,"Cincinnati","American Athletic","passingTDs",22
2022,"Miami (OH)","Mid-American","fumblesRecovered",13
2022,"USC","Pac-12","fourthDownConversions",15
2022,"James Madison","Sun Belt","firstDowns",249
2022,"Texas A&M","SEC","fumblesLost",12
2022,"Iowa State","Big 12","turnovers",22
2022,"Wake Forest","ACC","passesIntercepted",7
2022,"Clemson","ACC","interceptionTDs",2
2022,"Miami","ACC","fumblesLost",13
2022,"Pittsburgh","ACC","passAttempts",393
2022,"Appalachian State","Sun Belt","kickReturnYards",699
2022,"Tennessee","SEC","passingTDs",38
2022,"Iowa","Big Ten","passingTDs",7
2022,"Duke","ACC","firstDowns",282
2022,"Temple","American Athletic","netPassingYards",3217
2022,"Indiana","Big Ten","turnovers",18
2022,"Baylor","Big 12","puntReturnYards",189
2022,"Akron","Mid-American","passingTDs",13
2022,"Bowling Green","Mid-American","tacklesForLoss",81
2022,"Buffalo","Mid-American","penalties",61
2022,"Oregon","Pac-12","firstDowns",340
2022,"Baylor","Big 12","fumblesRecovered",7
2022,"San José State","Mountain West","rushingTDs",19
2022,"Cincinnati","American Athletic","firstDowns",241
2022,"Ohio","Mid-American","thirdDowns",188
2022,"Charlotte","Conference USA","kickReturnYards",838
2022,"Kansas","Big 12","firstDowns",264
2022,"Oregon","Pac-12","tacklesForLoss",51
2022,"Colorado State","Mountain West","passesIntercepted",8
2022,"Northern Illinois","Mid-American","kickReturnYards",434
2022,"Boise State","Mountain West","fourthDownConversions",10
2022,"Rice","Conference USA","passCompletions",233
2022,"Rice","Conference USA","kickReturnTDs",0
2022,"Marshall","Sun Belt","rushingYards",2668
2022,"Penn State","Big Ten","fourthDowns",30
2022,"South Alabama","Sun Belt","passCompletions",291
2022,"LSU","SEC","thirdDowns",179
2022,"Baylor","Big 12","possessionTime",24573
2022,"Southern Mississippi","Sun Belt","kickReturnYards",474
2022,"South Alabama","Sun Belt","penalties",100
2022,"Memphis","American Athletic","interceptions",8
2022,"California","Pac-12","puntReturns",22
